Cycle 267: Router 0, Element Input Buffer, Flit Flit 1
Cycle 268: Router 0, Element Input Buffer, Flit Flit 1
Cycle 269: Router 0, Element Input Buffer, Flit Flit 1
Cycle 270: Router 0, Element Input Buffer, Flit Flit 1
Cycle 271: Router 0, Element Input Buffer, Flit Flit 1
Cycle 272: Router 0, Element Input Buffer, Flit Flit 1
Cycle 273: Router 0, Element Input Buffer, Flit Flit 1
Cycle 274: Router 0, Element Input Buffer, Flit Flit 1
Cycle 275: Router 0, Element Input Buffer, Flit Flit 1
Cycle 276: Router 0, Element Input Buffer, Flit Flit 1
Cycle 277: Router 0, Element Input Buffer, Flit Flit 1
Cycle 278: Router 0, Element Input Buffer, Flit Flit 1
Cycle 279: Router 0, Element Input Buffer, Flit Flit 1
Cycle 280: Router 0, Element Input Buffer, Flit Flit 1
Cycle 281: Router 0, Element Input Buffer, Flit Flit 1
Cycle 282: Router 0, Element Input Buffer, Flit Flit 1
Cycle 283: Router 0, Element Input Buffer, Flit Flit 1
Cycle 284: Router 0, Element Input Buffer, Flit Flit 1
Cycle 285: Router 0, Element Input Buffer, Flit Flit 1
Cycle 286: Router 0, Element Input Buffer, Flit Flit 1
Cycle 287: Router 0, Element Input Buffer, Flit Flit 1
Cycle 288: Router 0, Element Input Buffer, Flit Flit 1
Cycle 289: Router 0, Element Input Buffer, Flit Flit 1
Cycle 290: Router 0, Element Input Buffer, Flit Flit 1
Cycle 291: Router 0, Element Input Buffer, Flit Flit 1
Cycle 292: Router 0, Element Input Buffer, Flit Flit 1
Cycle 293: Router 0, Element Input Buffer, Flit Flit 1
Cycle 294: Router 0, Element Input Buffer, Flit Flit 1
Cycle 295: Router 0, Element Input Buffer, Flit Flit 1
Cycle 296: Router 0, Element Input Buffer, Flit Flit 1
Cycle 297: Router 0, Element Input Buffer, Flit Flit 1
Cycle 298: Router 0, Element Input Buffer, Flit Flit 1
Cycle 299: Router 0, Element Input Buffer, Flit Flit 1
Cycle 300: Router 0, Element Input Buffer, Flit Flit 1
Cycle 301: Router 0, Element Input Buffer, Flit Flit 1
Cycle 302: Router 0, Element Input Buffer, Flit Flit 1
Cycle 303: Router 0, Element Input Buffer, Flit Flit 1
Cycle 304: Router 0, Element Input Buffer, Flit Flit 1
Cycle 305: Router 0, Element Input Buffer, Flit Flit 1
Cycle 306: Router 0, Element Input Buffer, Flit Flit 1
Cycle 307: Router 0, Element Input Buffer, Flit Flit 1
Cycle 308: Router 0, Element Input Buffer, Flit Flit 1
Cycle 309: Router 0, Element Input Buffer, Flit Flit 1
Cycle 310: Router 0, Element Input Buffer, Flit Flit 1
Cycle 311: Router 0, Element Input Buffer, Flit Flit 1
Cycle 312: Router 0, Element Input Buffer, Flit Flit 1
Cycle 313: Router 0, Element Input Buffer, Flit Flit 1
Cycle 314: Router 0, Element Input Buffer, Flit Flit 1
Cycle 315: Router 0, Element Input Buffer, Flit Flit 1
Cycle 316: Router 0, Element Input Buffer, Flit Flit 1
Cycle 317: Router 0, Element Input Buffer, Flit Flit 1
Cycle 318: Router 0, Element Input Buffer, Flit Flit 1
Cycle 319: Router 0, Element Input Buffer, Flit Flit 1
Cycle 320: Router 0, Element Input Buffer, Flit Flit 1
Cycle 321: Router 0, Element Input Buffer, Flit Flit 1
Cycle 322: Router 0, Element Input Buffer, Flit Flit 1
Cycle 323: Router 0, Element Input Buffer, Flit Flit 1
Cycle 324: Router 0, Element Input Buffer, Flit Flit 1
Cycle 325: Router 0, Element Input Buffer, Flit Flit 1
Cycle 326: Router 0, Element Input Buffer, Flit Flit 1
Cycle 327: Router 0, Element Input Buffer, Flit Flit 1
Cycle 328: Router 0, Element Input Buffer, Flit Flit 1
